SourceID	FullNameNoAuthors	FullNameWithAuthors
101	Psilotaceae	
102	Lycopodiaceae	
103	Selaginellaceae	
104	Isoetaceae	
105	Equisetaceae	
106	Ophioglossaceae	
107	Marattiaceae	
108	Osmundaceae	
109	Schizaeaceae	
110	Gleicheniaceae	
111	Hymenophyllaceae	
112	Plagiogyriaceae	
113	Dicksoniaceae	
114	Cyatheaceae	
115	Dennstaedtiaceae	
116	Lindsaeaceae	
117	Davalliaceae	
118	Oleandraceae	
119	Pteridaceae	
120	Adiantaceae	
121	Vittariaceae	
122	Onocleaceae	
123	Blechnaceae	
124	Aspidiaceae	
125	Dryopteridaceae	
126	Lomariopsidaceae	
127	Thelypteridaceae	
128	Athyriaceae	
129	Aspleniaceae	
130	Dipteridaceae	
131	Cheiropleuriaceae	
132	Polypodiaceae	
133	Grammitidaceae	
134	Parkeriaceae	
135	Marsileaceae	
136	Salviniaceae	
137	Azollaceae	
201	Cycadaceae	
202	Ginkgoaceae	
203	Taxaceae	
204	Amentotaxaceae	
205	Cephalotaxaceae	
206	Podocarpaceae	
207	Pinaceae	
208	Taxodiaceae	
209	Araucariaceae	
210	Cupressaceae	
301	Casuarinaceae	
302	Myricaceae	
303	Juglandaceae	
304	Salicaceae	
305	Betulaceae	
306	Fagaceae	
307	Ulmaceae	
308	Moraceae	
309	Cecropiaceae	
310	Urticaceae	
311	Proteaceae	
312	Olacaceae	
313	Santalaceae	
314	Opiliaceae	
315	Loranthaceae	
316	Balanophoraceae	
317	Polygonaceae	
318	Phytolaccaceae	
319	Nyctaginaceae	
320	Molluginaceae	
321	Aizoaceae	
322	Portulacaceae	
323	Basellaceae	
324	Caryophyllaceae	
325	Chenopodiaceae	
326	Amaranthaceae	
327	Cactaceae	
328	Magnoliaceae	
329	Annonaceae	
330	Myristicaceae	
331	Schisandraceae	
332	Illiciaceae	
333	Lauraceae	
334	Hernandiaceae	
335	Trochodendraceae	
336	Ranunculaceae	
337	Berberidaceae	
338	Lardizabalaceae	
339	Menispermaceae	
340	Nelumbonaceae	
341	Nymphaeaceae	
342	Cabombaceae	
343	Ceratophyllaceae	
344	Saururaceae	
345	Piperaceae	
346	Chloranthaceae	
347	Aristolochiaceae	
348	Rafflesiaceae	
349	Dilleniaceae	
350	Actinidiaceae	
351	Theaceae	
352	Clusiaceae	
353	Droseraceae	
354	Papaveraceae	
355	Fumariaceae	
356	Capparaceae	
357	Brassicaceae	
401	Resedaceae	
402	Platanaceae	
403	Hamamelidaceae	
404	Crassulaceae	
405	Saxifragaceae	
406	Pittosporaceae	
407	Rosaceae	
408	Connaraceae	
409	Fabaceae	
410	Oxalidaceae	
411	Geraniaceae	
412	Tropaeolaceae	
413	Zygophyllaceae	
414	Erythroxylaceae	
415	Euphorbiaceae	
416	Daphniphyllaceae	
417	Rutaceae	
418	Simaroubaceae	
419	Burseraceae	
420	Meliaceae	
421	Malpighiaceae	
422	Polygalaceae	
423	Coriariaceae	
424	Anacardiaceae	
425	Aceraceae	
426	Sapindaceae	
427	Bretschneideraceae	
428	Sabiaceae	
429	Balsaminaceae	
430	Aquifoliaceae	
431	Celastraceae	
432	Staphyleaceae	
433	Buxaceae	
434	Icacinaceae	
435	Rhamnaceae	
436	Vitaceae	
437	Leeaceae	
438	Elaeocarpaceae	
439	Tiliaceae	
440	Malvaceae	
441	Bombacaceae	
442	Sterculiaceae	
443	Thymelaeaceae	
444	Elaeagnaceae	
445	Flacourtiaceae	
446	Violaceae	
447	Stachyuraceae	
448	Passifloraceae	
449	Bixaceae	
450	Tamaricaceae	
451	Elatinaceae	
452	Caricaceae	
453	Begoniaceae	
454	Cucurbitaceae	
455	Lythraceae	
456	Myrtaceae	
457	Punicaceae	
458	Lecythidaceae	
459	Melastomataceae	
460	Rhizophoraceae	
461	Combretaceae	
462	Onagraceae	
463	Trapaceae	
464	Haloragaceae	
465	Theligonaceae	
466	Alangiaceae	
467	Nyssaceae	
468	Cornaceae	
469	Araliaceae	
470	Apiaceae	
501	Diapensiaceae	
502	Pyrolaceae	
503	Ericaceae	
504	Myrsinaceae	
505	Primulaceae	
506	Plumbaginaceae	
507	Sapotaceae	
508	Ebenaceae	
509	Styracaceae	
510	Symplocaceae	
511	Oleaceae	
512	Loganiaceae	
513	Gentianaceae	
514	Apocynaceae	
515	Asclepiadaceae	
516	Rubiaceae	
517	Polemoniaceae	
518	Convolvulaceae	
519	Hydrophyllaceae	
520	Boraginaceae	
521	Verbenaceae	
522	Callitrichaceae	
523	Lamiaceae	
524	Solanaceae	
525	Scrophulariaceae	
526	Bignoniaceae	
527	Acanthaceae	
528	Pedaliaceae	
529	Gesneriaceae	
530	Orobanchaceae	
531	Lentibulariaceae	
532	Myoporaceae	
533	Plantaginaceae	
534	Caprifoliaceae	
535	Valerianaceae	
536	Dipsacaceae	
537	Campanulaceae	
538	Goodeniaceae	
539	Asteraceae	
540	Sphenocleaceae	
541	Menyanthaceae	
601	Alismataceae	
602	Butomaceae	
603	Hydrocharitaceae	
604	Aponogetonaceae	
605	Potamogetonaceae	
606	Ruppiaceae	
607	Zannichelliaceae	
608	Zosteraceae	
609	Najadaceae	
610	Liliaceae	
611	Stemonaceae	
612	Agavaceae	
613	Amaryllidaceae	
614	Hypoxidaceae	
615	Dioscoreaceae	
616	Smilacaceae	
617	Pontederiaceae	
618	Iridaceae	
619	Burmanniaceae	
620	Philydraceae	
621	Juncaceae	
622	Commelinaceae	
623	Xyridaceae	
624	Eriocaulaceae	
625	Bromeliaceae	
626	Flagellariaceae	
627	Cyperaceae	
628	Poaceae	
629	Arecaceae	
630	Cyclanthaceae	
631	Taccaceae	
632	Araceae	
633	Lemnaceae	
634	Pandanaceae	
635	Sparganiaceae	
636	Typhaceae	
637	Musaceae	
638	Strelitziaceae	
639	Zingiberaceae	
640	Cannaceae	
641	Marantaceae	
642	Orchidaceae	
643	Petrosaviaceae	
644	Triuridaceae	
700	Pentaphragmataceae	
701	Cardiopteridaceae	
702	Gnetaceae	
703	Nepenthaceae	
704	Linaceae	
705	Gunneraceae	
706	Dipterocarpaceae	
707	Phrymaceae	
708	Sonneratiaceae	
709	Cannabaceae	
710	Stylidiaceae	
711	Ephedraceae	
712	Alstroemeriaceae	
713	Anthericaceae  	
714	Adoxaceae	
715	Cymodoceaceae	
716	Ancistrocladaceae	
717	Anisophylleaceae	
718	Pentaphylacaceae	
719	Haemodoraceae	
720	Tectariaceae	
721	Juncaginaceae	
722	Tetramelaceae	
723	Nartheciaceae	
724	Paeoniaceae	
725	Rhoipteleaceae	
726	Pandaceae	
727	Cynomoriaceae	
728	Restionaceae	
729	Bataceae	
730	Podostemaceae	
731	Brunelliaceae	
732	Calycanthaceae	
733	Ochnaceae	
734	Tapisciaceae	
735	Viscaceae	
736	Clethraceae	
737	Morinaceae	
738	Dipentodontaceae	
739	Circaeasteraceae	
740	Cistaceae	
741	Ixonanthaceae	
742	Phyllanthaceae	
743	Centroplacaceae	
